"","CS_ID","age","workclass","education_num","marital_status","relationship","occupation","race","hours_per_week","income","education_cat","gender"
"80","CS80",18,"Private",9,"S","Husband","Sales","White",30.5,46.95,"secundaria","m"
"81","CS81",52,"Private",13,"M","Not-in-family","Service","White",40.5,53.8,"universitaria","m"
"82","CS82",46,"Private",9,"M","Husband","Service","White",40.5,43.14,"secundaria","f"
"83","CS83",59,"Private",9,"M","Wife","Sales","White",48.5,52.26,"secundaria","m"
"84","CS84",44,"Private",9,"D","Husband","Blue-Collar","White",40,43.6,"secundaria","f"
"85","CS85",53,"Private",9,"D","Not-in-family","Sales","White",35.5,38.99,"secundaria","f"
"86","CS86",49,"Government",9,"M","Own-child","Service","White",40,57.12,"secundaria","m"
"87","CS87",33,"Private",14,"M","Husband","Professional","White",50,57.02,"postuniversitaria","m"
"88","CS88",30,"Private",5,"S","Husband","Sales","White",40.5,47.52,"primaria","m"
"89","CS89",43,"Government",16,"S","Not-in-family","Professional","White",50,45.1,"postuniversitaria","f"
"90","CS90",57,"Private",11,"M","Not-in-family","Professional","White",40,56.62,"universitaria","m"
"91","CS91",37,"Private",10,"D","Husband","Blue-Collar","White",40,44.4,"universitaria","f"
"92","CS92",28,"Private",10,"D","Unmarried","Blue-Collar","Black",25.5,42.79,"universitaria","f"
"93","CS93",30,"Private",9,"M","Unmarried","Sales","Asian-Pac-Islander",35,40.72,"secundaria","f"
"94","CS94",34,"Government",13,"M","Wife","Service","White",40,55.99,"universitaria","m"
"95","CS95",29,"Government",10,"S","Husband","Blue-Collar","White",50.5,58.19,"universitaria","m"
"96","CS96",48,"Self-Employed",16,"M","Not-in-family","Professional","White",60.5,52,"postuniversitaria","m"
"97","CS97",37,"Private",10,"M","Husband","Sales","White",48,57.02,"universitaria","m"
"98","CS98",48,"Private",12,"D","Husband","White-Collar","White",40.5,48.43,"universitaria","f"
"99","CS99",32,"Government",9,"S","Unmarried","Service","Black",40,43.48,"secundaria","m"
"100","CS100",37.3573817486861,"Private",14,"M","Own-child","White-Collar","White",40.5,57.77,"postuniversitaria","m"
"101","CS101",44,"Private",13,"M","Husband","White-Collar","White",60.5,57.73,"universitaria","m"
"102","CS102",47,"Self-Employed",14,"S","Husband","Professional","White",50,38.76,"postuniversitaria","f"
"103","CS103",20,"Private",10,"S","Not-in-family","Service","White",40,37.41,"universitaria","f"
"104","CS104",29,"Private",9,"S","Own-child","Blue-Collar","White",40,50.16,"secundaria","m"
"105","CS105",32,"Self-Employed",9,"M","Not-in-family","Blue-Collar","White",40.5,50.05,"secundaria","m"
"106","CS106",17,"Other/Unknown",6,"S","Husband","Other/Unknown","White",32,33.24,"primaria","f"
"107","CS107",30,"Private",7,"S","Own-child","Blue-Collar","White",40.5,48.7,"secundaria","m"
"108","CS108",31,"Government",9,"S","Own-child","White-Collar","White",40.5,43.58,"secundaria","f"
"109","CS109",42,"Private",9,"M","Not-in-family","Blue-Collar","White",40,54.49,"secundaria","m"
"110","CS110",24,"Private",13,"S","Husband","Sales","White",40.5,50.79,"universitaria","m"
"111","CS111",38,"Private",15,"M","Other-relative","Professional","White",40,53.84,"postuniversitaria","m"
"112","CS112",56,"Self-Employed",9,"M","Husband","Service","White",50,51.19,"secundaria","m"
"113","CS113",28,"Private",10,"M","Husband","Sales","White",25.5,38.45,"universitaria","f"
"114","CS114",36,"Private",9,"S","Wife","Blue-Collar","White",40.5,40.96,"secundaria","f"
"115","CS115",53,"Private",5,"M","Own-child","Blue-Collar","White",50,55.68,"primaria","m"
"116","CS116",56,"Self-Employed",10,"M","Husband","Sales","White",50,50.88,"universitaria","m"
"117","CS117",49,"Government",11,"M","Husband","Blue-Collar","Black",40,52.29,"universitaria","m"
"118","CS118",55,"Private",10,"M","Husband","Sales","White",56,52.15,"universitaria","m"
"119","CS119",22,"Private",9,"S","Husband","Blue-Collar","White",41,48.98,"secundaria","m"
"120","CS120",21,"Private",10,"S","Not-in-family","Service","White",40.5,35.88,"universitaria","f"
"121","CS121",40,"Private",13,"M","Own-child","White-Collar","White",60.5,59.27,"universitaria","m"
"122","CS122",30,"Private",13,"S","Husband","White-Collar","Black",40,44.24,"universitaria","m"
"123","CS123",29,"Government",13,"M","Own-child","Professional","White",50.5,57.42,"universitaria","m"
"124","CS124",19,"Private",10,"S","Husband","Service","Black",35,39.21,"universitaria","m"
"125","CS125",47,"Private",13,"M","Own-child","White-Collar","White",40,52.33,"universitaria","f"
"126","CS126",20,"Private",10,"S","Wife","White-Collar","White",28.5,41.24,"universitaria","f"
"127","CS127",31,"Private",12,"M","Own-child","White-Collar","White",40.5,58.32,"universitaria","m"
"128","CS128",35,"Other/Unknown",9,"M","Husband","Other/Unknown","White",40,49.2,"secundaria","m"
"129","CS129",39,"Private",10,"D","Husband","Blue-Collar","White",40,50.55,"universitaria","m"
"130","CS130",28,"Private",12,"S","Not-in-family","Sales","White",60.5,39.22,"universitaria","f"
"131","CS131",24,"Private",9,"S","Not-in-family","Service","White",40,40.6,"secundaria","f"
"132","CS132",38,"Self-Employed",9,"M","Not-in-family","Blue-Collar","White",35.5,52.88,"secundaria","m"
"133","CS133",37,"Private",13,"M","Husband","Sales","White",50,53.72,"universitaria","m"
"134","CS134",46,"Private",12,"D","Husband","Service","Black",36.5,39.34,"universitaria","f"
"135","CS135",38,"Government",14,"M","Not-in-family","Professional","White",40,54.57,"postuniversitaria","m"
"136","CS136",43,"Self-Employed",9,"M","Husband","Blue-Collar","White",60.5,55.14,"secundaria","m"
"137","CS137",27,"Private",11,"M","Husband","White-Collar","White",35,44.35,"universitaria","f"
"138","CS138",20,"Private",10,"S","Wife","Sales","White",20.5,48.78,"universitaria","m"
"139","CS139",49,"Private",10,"M","Own-child","Blue-Collar","Asian-Pac-Islander",40.5,50.09,"universitaria","m"
"140","CS140",61,"Self-Employed",9,"M","Husband","Blue-Collar","White",40.5,49.93,"secundaria","m"
"141","CS141",27,"Private",10,"S","Husband","Sales","White",40,39.51,"universitaria","f"
"142","CS142",19,"Private",10,"S","Own-child","Service","White",30.5,47.05,"universitaria","m"
"143","CS143",45,"Private",11,"S","Own-child","Professional","White",40,36.82,"universitaria","f"
"144","CS144",37.3573817486861,"Private",10,"S","Not-in-family","Service","White",40.5,46.37,"universitaria","m"
"145","CS145",31,"Private",9,"S","Other-relative","Blue-Collar","Black",30.5,37.42,"secundaria","f"
"146","CS146",22,"Private",10,"M","Unmarried","Service","White",24,50.42,"universitaria","m"
"147","CS147",36,"Private",9,"W","Husband","Service","White",24.5,35.17,"secundaria","f"
"148","CS148",64,"Private",7,"M","Unmarried","Blue-Collar","White",40,56.67,"secundaria","m"
"149","CS149",43,"Other/Unknown",10,"D","Husband","Other/Unknown","White",40,40.79,"universitaria","f"
"150","CS150",47,"Government",10,"D","Not-in-family","White-Collar","White",38,46.08,"universitaria","f"
"151","CS151",34,"Private",9,"S","Unmarried","White-Collar","White",40.5,44.59,"secundaria","f"
"152","CS152",33,"Private",13,"S","Not-in-family","White-Collar","Asian-Pac-Islander",40.5,44.26,"universitaria","f"
"153","CS153",21,"Private",9,"S","Other-relative","Blue-Collar","White",35,51.13,"secundaria","m"
"154","CS154",52,"Other/Unknown",9,"D","Own-child","Other/Unknown","White",45,44.68,"secundaria","m"
"155","CS155",48,"Private",9,"M","Not-in-family","Blue-Collar","White",46,55.37,"secundaria","m"
"156","CS156",23,"Private",13,"S","Husband","Blue-Collar","White",40,51.36,"universitaria","m"
"157","CS157",37.3573817486861,"Self-Employed",10,"X","Not-in-family","Sales","Black",2.5,38.42,"universitaria","m"
"158","CS158",29,"Private",9,"D","Unmarried","Blue-Collar","White",60.5,51.72,"secundaria","m"
"159","CS159",42,"Private",13,"X","Not-in-family","Service","Black",50,43.74,"universitaria","m"
"160","CS160",37.3573817486861,"Other/Unknown",2,"D","Other-relative","Other/Unknown","White",20,33.51,"primaria","f"
"161","CS161",25,"Private",9,"S","Not-in-family","Service","White",40.5,39.85,"secundaria","f"
"162","CS162",44,"Self-Employed",14,"D","Unmarried","White-Collar","Asian-Pac-Islander",40.5,39.26,"postuniversitaria","f"
"163","CS163",28,"Private",9,"S","Unmarried","White-Collar","Asian-Pac-Islander",40.5,38.81,"secundaria","f"
"164","CS164",45,"Self-Employed",14,"M","Not-in-family","Sales","White",40,57.37,"postuniversitaria","m"
"165","CS165",36,"Private",10,"D","Husband","Service","White",40,38.55,"universitaria","f"
"166","CS166",39,"Government",12,"S","Unmarried","White-Collar","White",42,58.75,"universitaria","m"
"167","CS167",46,"Government",14,"W","Not-in-family","Service","White",40.5,55.69,"postuniversitaria","m"
"168","CS168",18,"Private",7,"S","Unmarried","Blue-Collar","White",16.5,48.22,"secundaria","m"
"169","CS169",37.3573817486861,"Government",11,"W","Own-child","Professional","White",20.5,45.52,"universitaria","f"
"170","CS170",27,"Private",9,"S","Not-in-family","Service","White",40.5,48.54,"secundaria","m"
"171","CS171",28,"Government",9,"M","Not-in-family","Service","White",40.5,55.4,"secundaria","m"
"172","CS172",51,"Private",10,"M","Husband","Sales","White",40,52.96,"universitaria","m"
"173","CS173",27,"Private",13,"S","Husband","Blue-Collar","White",50.5,52.27,"universitaria","m"
"174","CS174",28,"Government",13,"M","Not-in-family","Professional","White",40.5,62.33,"universitaria","m"
"175","CS175",27,"Private",9,"M","Husband","Sales","White",25,39.87,"secundaria","f"
"176","CS176",21,"Private",9,"S","Unmarried","Blue-Collar","Black",40.5,40.43,"secundaria","m"
"177","CS177",34,"Private",9,"S","Own-child","Blue-Collar","Black",40.5,43.09,"secundaria","m"
"178","CS178",18,"Private",9,"S","Not-in-family","Service","White",12,47.31,"secundaria","m"
"179","CS179",33,"Private",13,"M","Own-child","Professional","White",65,55.84,"universitaria","m"
"180","CS180",44,"Government",10,"M","Husband","White-Collar","Black",38,52.64,"universitaria","m"
"181","CS181",43,"Private",10,"D","Husband","White-Collar","White",40.5,42.46,"universitaria","f"
"182","CS182",30,"Private",10,"S","Not-in-family","Blue-Collar","Black",45.5,45.88,"universitaria","m"
"183","CS183",40,"Private",4,"M","Not-in-family","Blue-Collar","White",40.5,52.94,"primaria","m"
"184","CS184",37,"Government",10,"M","Husband","White-Collar","White",42.5,59.74,"universitaria","m"
"185","CS185",34,"Private",9,"M","Husband","White-Collar","Black",40,48.54,"secundaria","m"
"186","CS186",41,"Self-Employed",13,"D","Husband","White-Collar","White",40.5,42.07,"universitaria","f"
"187","CS187",53,"Other/Unknown",13,"D","Not-in-family","Other/Unknown","White",50,40.34,"universitaria","f"
"188","CS188",31,"Private",14,"M","Not-in-family","Professional","White",50,44.94,"postuniversitaria","f"
"189","CS189",58,"Government",16,"M","Wife","Professional","White",1,60.24,"postuniversitaria","m"
"190","CS190",38,"Private",10,"D","Husband","Blue-Collar","Black",28.5,41.08,"universitaria","f"
"191","CS191",24,"Private",10,"M","Not-in-family","Blue-Collar","White",40,55.45,"universitaria","m"
"192","CS192",41,"Government",13,"M","Husband","Blue-Collar","Black",40,51.81,"universitaria","m"
"193","CS193",47,"Private",10,"M","Husband","Service","White",45.5,53.05,"universitaria","m"
"194","CS194",41,"Government",13,"M","Husband","Service","White",24.5,55.19,"universitaria","m"
"195","CS195",23,"Private",3,"M","Husband","Blue-Collar","White",40,50.2,"primaria","m"
"196","CS196",36,"Private",10,"D","Other-relative","Blue-Collar","White",40.5,56.37,"universitaria","m"
"197","CS197",40,"Government",14,"S","Not-in-family","White-Collar","White",55,50.39,"postuniversitaria","f"
"198","CS198",35,"Private",14,"M","Not-in-family","Professional","White",40,52.09,"postuniversitaria","m"
"199","CS199",24,"Self-Employed",9,"S","Other-relative","Sales","White",40,43.49,"secundaria","m"
"200","CS200",26,"Private",14,"S","Not-in-family","Professional","White",40,37.95,"postuniversitaria","f"
"201","CS201",19,"Other/Unknown",9,"S","Not-in-family","Other/Unknown","White",40,48.96,"secundaria","m"
"202","CS202",51,"Private",13,"M","Own-child","White-Collar","White",50,61.68,"universitaria","m"
"203","CS203",42,"Government",10,"S","Husband","Professional","White",40.5,43.03,"universitaria","f"
"204","CS204",37,"Government",9,"D","Not-in-family","White-Collar","White",35.5,49.04,"secundaria","f"
"205","CS205",18,"Private",7,"S","Unmarried","Sales","White",40.5,36.08,"secundaria","f"
"206","CS206",36,"Private",13,"M","Own-child","Service","Black",36.5,44.24,"universitaria","m"
"207","CS207",35,"Private",9,"D","Husband","Blue-Collar","White",60,51.06,"secundaria","m"
"208","CS208",58,"Self-Employed",9,"M","Not-in-family","Sales","White",35,38.39,"secundaria","f"
"209","CS209",17,"Private",7,"S","Wife","Sales","White",12.5,39.34,"secundaria","f"
"210","CS210",44,"Government",9,"M","Own-child","Blue-Collar","Black",40.5,51.2,"secundaria","m"
"211","CS211",37,"Private",9,"M","Husband","Blue-Collar","White",40,55.34,"secundaria","m"
"212","CS212",35,"Private",10,"S","Husband","Sales","Amer-Indian-Eskimo",40.5,36.84,"universitaria","f"
"213","CS213",60,"Private",9,"M","Not-in-family","Blue-Collar","Asian-Pac-Islander",40,48.75,"secundaria","m"
"214","CS214",54,"Self-Employed",4,"M","Husband","Blue-Collar","White",40.5,50.03,"primaria","m"
"215","CS215",37,"Private",13,"S","Husband","White-Collar","Black",60.5,44.95,"universitaria","m"
"216","CS216",50,"Private",12,"D","Not-in-family","Sales","White",40,43.77,"universitaria","f"
"217","CS217",38,"Private",13,"M","Not-in-family","Sales","White",50,52.79,"universitaria","m"
"218","CS218",45,"Private",13,"M","Husband","Professional","White",55.5,53.58,"universitaria","m"
"219","CS219",25,"Private",6,"S","Husband","Blue-Collar","White",40.5,47.34,"primaria","m"
"220","CS220",31,"Private",10,"M","Not-in-family","Blue-Collar","White",40,52.66,"universitaria","m"
"221","CS221",64,"Other/Unknown",2,"D","Husband","Other/Unknown","White",40.5,43.59,"primaria","m"
"222","CS222",37.3573817486861,"Private",9,"S","Not-in-family","Service","Black",40.5,42.93,"secundaria","m"
"223","CS223",54,"Private",9,"M","Not-in-family","White-Collar","Black",20,51.23,"secundaria","m"
"224","CS224",53,"Government",1,"S","Husband","Blue-Collar","White",35.5,44.37,"primaria","f"
"225","CS225",18,"Private",9,"S","Not-in-family","Sales","White",40,36.8,"secundaria","f"
"226","CS226",60,"Other/Unknown",6,"D","Own-child","Other/Unknown","Amer-Indian-Eskimo",10.5,33.08,"primaria","f"
"227","CS227",37.3573817486861,"Self-Employed",9,"M","Not-in-family","Blue-Collar","White",50,51.86,"secundaria","m"
"228","CS228",37.3573817486861,"Private",11,"W","Husband","White-Collar","White",20.5,43.33,"universitaria","f"
"229","CS229",65,"Private",9,"D","Not-in-family","White-Collar","White",40.5,46.71,"secundaria","f"
"230","CS230",35,"Private",7,"X","Not-in-family","Blue-Collar","Black",40.5,40.39,"secundaria","m"
"231","CS231",41,"Private",9,"D","Not-in-family","Sales","Black",38.5,43.07,"secundaria","f"
"232","CS232",25,"Private",10,"S","Unmarried","White-Collar","White",42,52.93,"universitaria","m"
"233","CS233",33,"Private",10,"D","Not-in-family","Blue-Collar","Other",40,34.72,"universitaria","f"
"234","CS234",28,"Private",15,"S","Other-relative","Professional","White",55,49.66,"postuniversitaria","m"
"235","CS235",59,"Government",9,"M","Not-in-family","Service","White",40.5,55.61,"secundaria","m"
"236","CS236",40,"Government",10,"S","Husband","White-Collar","White",38,44.81,"universitaria","f"
"237","CS237",41,"Private",13,"M","Not-in-family","White-Collar","White",50.5,58.39,"universitaria","m"
"238","CS238",38,"Government",14,"M","Husband","White-Collar","White",70,64.42,"postuniversitaria","m"
"239","CS239",23,"Private",9,"S","Husband","Blue-Collar","White",40.5,51.33,"secundaria","m"
"240","CS240",40,"Private",13,"M","Own-child","Professional","White",40.5,52.87,"universitaria","m"
"241","CS241",41,"Self-Employed",9,"M","Husband","Service","White",20.5,37.04,"secundaria","f"
"242","CS242",24,"Government",12,"M","Wife","Service","White",50.5,55.94,"universitaria","m"
"243","CS243",20,"Other/Unknown",10,"S","Husband","Other/Unknown","White",20.5,47.29,"universitaria","m"
"244","CS244",38,"Private",10,"D","Own-child","Blue-Collar","White",40,50.17,"universitaria","m"
"245","CS245",56,"Private",9,"M","Not-in-family","White-Collar","White",35,57.16,"secundaria","m"
"246","CS246",58,"Private",9,"M","Husband","White-Collar","White",45,61.68,"secundaria","m"
"247","CS247",32,"Private",9,"S","Husband","Service","White",34.5,37.57,"secundaria","f"
"248","CS248",40,"Private",12,"M","Not-in-family","Service","White",60,51,"universitaria","m"
"249","CS249",45,"Private",9,"M","Husband","White-Collar","White",40,56.01,"secundaria","m"
"250","CS250",41,"Private",15,"M","Husband","Professional","White",40,46.05,"postuniversitaria","f"
"251","CS251",42,"Private",13,"M","Wife","White-Collar","Black",40,47.74,"universitaria","f"
"252","CS252",59,"Government",6,"W","Wife","Service","Black",30,40.91,"primaria","f"
"253","CS253",19,"Government",10,"S","Unmarried","White-Collar","White",40,56.18,"universitaria","m"
"254","CS254",58,"Private",10,"S","Own-child","Blue-Collar","White",20.5,51.62,"universitaria","m"
"255","CS255",42,"Self-Employed",9,"M","Not-in-family","Blue-Collar","Asian-Pac-Islander",40.5,45.95,"secundaria","m"
"256","CS256",20,"Private",9,"S","Husband","Service","White",40.5,37.41,"secundaria","f"
"257","CS257",32,"Private",9,"X","Own-child","Service","White",30.5,39.81,"secundaria","f"
"258","CS258",45,"Private",11,"W","Not-in-family","White-Collar","White",45.5,45.87,"universitaria","f"
"259","CS259",50,"Private",4,"D","Not-in-family","Blue-Collar","White",40.5,50.71,"primaria","m"
"260","CS260",36,"Private",13,"D","Not-in-family","Professional","White",40,38.24,"universitaria","f"
"261","CS261",45,"Private",9,"M","Own-child","Sales","White",60,51.9,"secundaria","m"
"262","CS262",17,"Private",7,"S","Husband","Service","White",12,45.06,"secundaria","m"
"263","CS263",59,"Private",10,"M","Own-child","Sales","White",40.5,53.16,"universitaria","m"
"264","CS264",26,"Private",7,"M","Husband","Blue-Collar","White",40,56.75,"secundaria","m"
"265","CS265",37,"Self-Employed",10,"M","Husband","White-Collar","Asian-Pac-Islander",75,50.55,"universitaria","m"
"266","CS266",19,"Other/Unknown",10,"S","Husband","Other/Unknown","White",24,47.49,"universitaria","m"
"267","CS267",64,"Private",9,"M","Own-child","White-Collar","White",40,57.64,"secundaria","m"
"268","CS268",33,"Private",13,"S","Husband","Professional","White",45,36.86,"universitaria","f"
"269","CS269",33,"Private",9,"M","Not-in-family","Blue-Collar","White",40,44.2,"secundaria","f"
"270","CS270",61,"Private",9,"M","Wife","White-Collar","White",40,58,"secundaria","m"
"271","CS271",17,"Private",5,"S","Husband","Service","White",24.5,47.47,"primaria","m"
"272","CS272",50,"Self-Employed",14,"M","Own-child","Blue-Collar","White",NA,57.71,"postuniversitaria","m"
"273","CS273",27,"Government",14,"S","Husband","Professional","White",35.5,55.57,"postuniversitaria","m"
"274","CS274",30,"Private",9,"D","Own-child","Professional","White",40,37.1,"secundaria","f"
"275","CS275",43,"Private",9,"M","Own-child","Blue-Collar","Black",40,48.98,"secundaria","m"
"276","CS276",44,"Private",10,"M","Husband","Blue-Collar","White",40,54.73,"universitaria","m"
"277","CS277",35,"Private",10,"S","Husband","White-Collar","White",40.5,43.7,"universitaria","f"
"278","CS278",25,"Private",10,"S","Not-in-family","Service","White",40,38.2,"universitaria","f"
"279","CS279",24,"Private",10,"M","Own-child","Blue-Collar","White",48.5,46.12,"universitaria","f"
"280","CS280",22,"Private",13,"S","Wife","Professional","White",15,39.19,"universitaria","f"
"281","CS281",42,"Government",10,"M","Not-in-family","Blue-Collar","White",40,56.23,"universitaria","m"
"282","CS282",34,"Private",12,"D","Husband","Sales","Black",45.5,41.56,"universitaria","f"
"283","CS283",60,"Private",13,"D","Unmarried","Professional","White",42,42.86,"universitaria","f"
"284","CS284",21,"Private",9,"S","Not-in-family","Blue-Collar","White",40.5,50.09,"secundaria","m"
"285","CS285",57,"Government",14,"M","Own-child","Sales","White",40.5,58.49,"postuniversitaria","m"
"286","CS286",41,"Private",15,"M","Husband","Professional","White",60,55.95,"postuniversitaria","m"
