"CS_ID";"age";"workclass";"fnlwgt";"education_num";"marital_status";"relationship";"occupation";"race";"sex";"capital_gain";"capital_loss";"hours_per_week";"income"
"CS45";57;" Government";289980;13;" Married";"Not-in-family";" Professional";" Black";" M";0;0;"40,5 h";"53,36 Milers d'euros"
"CS46";53;" Private";337895;9;" Married";"Husband";" Blue-Collar";" White";" M";0;0;"38,5 h";"53,27 Milers d'euros"
"CS47";44;" Private";144361;14;" Divorced";"Husband";" White-Collar";" White";" Fem";0;0;"40,5 h";"45,05 Milers d'euros"
"CS48";41;" Government";128354;11;" Married";"Unmarried";" Blue-Collar";" White";" M";0;0;"40 h";"58,91 Milers d'euros"
"CS49";29;" Private";101603;11;" Single";"Husband";" Professional";" White";" M";0;0;"43,5 h";"51,13 Milers d'euros"
"CS50";25;" Private";271466;10;" Married";"Not-in-family";" White-Collar";" Other";" Fem";0;0;"40,5 h";"38,88 Milers d'euros"
"CS51";18;" Private";32275;9;" Single";"Wife";" Service";" White";" Fem";0;0;"30,5 h";"37,74 Milers d'euros"
"CS52";47;" Private";226956;15;" Married";"Own-child";" Professional";" White";" Fem";0;0;"60,5 h";"45,8 Milers d'euros"
"CS53";50;" Government";51835;13;" Divorced";"Wife";" White-Collar";" White";" M";0;1902;"55 h";"60,09 Milers d'euros"
"CS54";47;" Self-Employed";251585;9;" Divorced";"Not-in-family";" White-Collar";" White";" M";0;0;"60,5 h";"54,74 Milers d'euros"
"CS55";43;" Private";109832;10;" Married";"Not-in-family";" Service";" White";" M";0;0;"40 h";"52,14 Milers d'euros"
"CS56";46;" Private";237993;3;" Married";"Husband";" Blue-Collar";" White";" M";0;0;"40 h";"56,54 Milers d'euros"
"CS57";35;" Private";216666;11;" Married";"Husband";" Service";" White";" M";0;0;"40,5 h";"49560 euros"
"CS58";41;" Private";56352;9;" Married";"Husband";" White-Collar";" White";" M";0;0;"48 h";"58,63 Milers d'euros"
"CS59";30;" Private";147372;9;" Married";"Husband";" Blue-Collar";" White";" M";0;0;"40,5 h";"55,14 Milers d'euros"
"CS60";30;" Private";188146;13;" Married";"Husband";" Sales";" White";" M";5013;0;"40 h";"53,56 Milers d'euros"
"CS61";32;" Other/Unknown";59496;4;" Married";"Husband";" Other/Unknown";" White";" M";2407;0;"40,5 h";"48,16 Milers d'euros"
"CS62";48;" Private";293936;9;" Married";"Not-in-family";" Blue-Collar";" White";" M";0;0;"40 h";"54,43 Milers d'euros"
"CS63";42;" Private";149640;16;" Married";"Husband";" Professional";" White";" M";0;0;"45,5 h";"54,9 Milers d'euros"
"CS64";29;" Private";116632;10;" Divorced";"Husband";" Service";" White";" M";0;0;"58,5 h";"47,67 Milers d'euros"
"CS65";36;" Private";105598;9;" Married";"Not-in-family";" Blue-Collar";" White";" M";0;0;"40,5 h";"52,93 Milers d'euros"
"CS66";28;" Private";155537;10;" Divorced";"Husband";" White-Collar";" White";" Fem";0;0;"40 h";"44,75 Milers d'euros"
"CS67";53;" Private";183175;9;" Married";"Not-in-family";" White-Collar";" White";" Fem";0;0;"40,5 h";"48,48 Milers d'euros"
"CS68";49;" Self-Employed";169846;10;" Married";"Wife";" White-Collar";" White";" M";0;0;"50,5 h";"55,18 Milers d'euros"
"CS69";25;" Other/Unknown";191681;10;" Single";"Husband";" Other/Unknown";" White";" M";0;0;"40,5 h";"46,89 Milers d'euros"
"CS70";19;" Private";200681;10;" Single";"Own-child";" Professional";" White";" M";0;0;"32,5 h";"52,73 Milers d'euros"
"CS71";31;" Private";101509;13;" Separated";"Own-child";" Sales";" Black";" Fem";0;0;"40 h";"38,18 Milers d'euros"
"CS72";29;" Self-Employed";309974;13;" Married";"Own-child";" Sales";" White";" M";0;0;"70,5 h";"46,38 Milers d'euros"
"CS73";23;" Private";162298;10;" Single";"Husband";" Blue-Collar";" White";" M";0;0;"40,5 h";"53 Milers d'euros"
"CS74";79;" Private";211678;10;" Married";"Not-in-family";" Professional";" White";" M";0;0;"20,5 h";"52,65 Milers d'euros"
"CS75";27;" Private";124744;9;" Single";"Other-relative";" Service";" White";" M";0;0;"40,5 h";"46,42 Milers d'euros"
"CS76";40;" Private";213921;12;" Married";"Own-child";" White-Collar";" White";" M";0;0;"40,5 h";"60,17 Milers d'euros"
"CS77";67;" Other/Unknown";32214;6;" Married";"Husband";" Other/Unknown";" White";" M";0;0;"2 h";"47,36 Milers d'euros"
"CS78";18;" Private";212759;7;" Single";"Husband";" Service";" White";" Fem";0;0;"22 h";"33,93 Milers d'euros"
"CS79";31;" Government";309634;4;" Married";"Own-child";" Blue-Collar";" White";" M";0;0;"40 h";"57,73 Milers d'euros"
"CS80";18;" Private";125927;9;" Single";"Husband";" Sales";" White";" M";0;0;"30,5 h";"46,95 Milers d'euros"
"CS81";52;" Private";446839;13;" Married";"Not-in-family";" Service";" White";" M";0;0;"40,5 h";"53,8 Milers d'euros"
"CS82";46;" Private";276515;9;" Married";"Husband";" Service";" White";" Fem";0;0;"40,5 h";"43,14 Milers d'euros"
"CS83";59;" Private";51618;9;" Married";"Wife";" Sales";" White";" M";0;0;"48,5 h";"52,26 Milers d'euros"
"CS84";44;" Private";159937;9;" Divorced";"Husband";" Blue-Collar";" White";" Fem";0;0;"40 h";"43,6 Milers d'euros"
"CS85";53;" Private";343591;9;" Divorced";"Not-in-family";" Sales";" White";" Fem";14344;0;"35,5 h";"38,99 Milers d'euros"
"CS86";49;" Government";346253;9;" Married";"Own-child";" Service";" White";" M";0;0;"40 h";"57120 euros"
"CS87";33;" Private";268234;14;" Married";"Husband";" Professional";" White";" M";0;0;"50 h";"57,02 Milers d'euros"
"CS88";30;" Private";202051;5;" Single";"Husband";" Sales";" White";" M";0;0;"40,5 h";"47,52 Milers d'euros"
"CS89";43;" Government";54334;16;" Single";"Not-in-family";" Professional";" White";" Fem";0;0;"50 h";"45,1 Milers d'euros"
"CS90";57;" Private";410867;11;" Married";"Not-in-family";" Professional";" White";" M";0;0;"40 h";"56,62 Milers d'euros"
"CS91";37;" Private";249977;10;" Divorced";"Husband";" Blue-Collar";" White";" Fem";0;0;"40 h";"44,4 Milers d'euros"
"CS92";28;" Private";286730;10;" Divorced";"Unmarried";" Blue-Collar";" Black";" Fem";0;0;"25,5 h";"42,79 Milers d'euros"
"CS93";30;" Private";212563;9;" Married";"Unmarried";" Sales";" Asian-Pac-Islander";" Fem";0;0;"35 h";"40,72 Milers d'euros"
"CS94";34;" Government";117747;13;" Married";"Wife";" Service";" White";" M";0;1573;"40 h";"55,99 Milers d'euros"
"CS95";29;" Government";226296;10;" Single";"Husband";" Blue-Collar";" White";" M";0;0;"50,5 h";"58,19 Milers d'euros"
"CS96";48;" Self-Employed";115585;16;" Married";"Not-in-family";" Professional";" White";" M";0;0;"60,5 h";"52 Milers d'euros"
"CS97";37;" Private";191277;10;" Married";"Husband";" Sales";" White";" M";0;1902;"48 h";"57,02 Milers d'euros"
"CS98";48;" Private";202683;12;" Divorced";"Husband";" White-Collar";" White";" Fem";0;0;"40,5 h";"48,43 Milers d'euros"
"CS99";32;" Government";171095;9;" Single";"Unmarried";" Service";" Black";" M";0;0;"40 h";"43,48 Milers d'euros"
"CS100";76;" Private";249409;14;" Married";"Own-child";" White-Collar";" White";" M";0;0;"40,5 h";"57,77 Milers d'euros"
"CS101";44;" Private";124191;13;" Married";"Husband";" White-Collar";" White";" M";0;0;"60,5 h";"57,73 Milers d'euros"
"CS102";47;" Self-Employed";198282;14;" Single";"Husband";" Professional";" White";" Fem";15024;0;"50 h";"38,76 Milers d'euros"
"CS103";20;" Private";149116;10;" Single";"Not-in-family";" Service";" White";" Fem";0;0;"40 h";"37,41 Milers d'euros"
"CS104";29;" Private";188300;9;" Single";"Own-child";" Blue-Collar";" White";" M";0;0;"40 h";"50,16 Milers d'euros"
"CS105";32;" Self-Employed";103432;9;" Married";"Not-in-family";" Blue-Collar";" White";" M";0;0;"40,5 h";"50,05 Milers d'euros"
"CS106";17;" Other/Unknown";317660;6;" Single";"Husband";" Other/Unknown";" White";" Fem";7688;0;"32 h";"33,24 Milers d'euros"
"CS107";30;" Private";304873;7;" Single";"Own-child";" Blue-Collar";" White";" M";34095;0;"40,5 h";"48,7 Milers d'euros"
"CS108";31;" Government";194901;9;" Single";"Own-child";" White-Collar";" White";" Fem";0;0;"40,5 h";"43,58 Milers d'euros"
"CS109";42;" Private";189265;9;" Married";"Not-in-family";" Blue-Collar";" White";" M";0;0;"40 h";"54,49 Milers d'euros"
"CS110";24;" Private";124692;13;" Single";"Husband";" Sales";" White";" M";0;0;"40,5 h";"50,79 Milers d'euros"
"CS111";38;" Private";432376;15;" Married";"Other-relative";" Professional";" White";" M";0;0;"40 h";"53,84 Milers d'euros"
"CS112";56;" Self-Employed";65324;9;" Married";"Husband";" Service";" White";" M";0;0;"50 h";"51,19 Milers d'euros"
"CS113";28;" Private";335605;10;" Married";"Husband";" Sales";" White";" Fem";0;1887;"25,5 h";"38,45 Milers d'euros"
"CS114";36;" Private";377869;9;" Single";"Wife";" Blue-Collar";" White";" Fem";4064;0;"40,5 h";"40,96 Milers d'euros"
"CS115";53;" Private";102864;5;" Married";"Own-child";" Blue-Collar";" White";" M";0;0;"50 h";"55,68 Milers d'euros"
"CS116";56;" Self-Employed";95647;10;" Married";"Husband";" Sales";" White";" M";0;0;"50 h";"50,88 Milers d'euros"
"CS117";49;" Government";303090;11;" Married";"Husband";" Blue-Collar";" Black";" M";0;0;"40 h";"52,29 Milers d'euros"
"CS118";55;" Private";197371;10;" Married";"Husband";" Sales";" White";" M";0;0;"56 h";"52150 euros"
"CS119";22;" Private";247552;9;" Single";"Husband";" Blue-Collar";" White";" M";0;0;"41 h";"48,98 Milers d'euros"
"CS120";21;" Private";102632;10;" Single";"Not-in-family";" Service";" White";" Fem";0;0;"40,5 h";"35,88 Milers d'euros"
"CS121";40;" Private";199915;13;" Married";"Own-child";" White-Collar";" White";" M";0;0;"60,5 h";"59,27 Milers d'euros"
"CS122";30;" Private";118853;13;" Single";"Husband";" White-Collar";" Black";" M";0;0;"40 h";"44,24 Milers d'euros"
"CS123";29;" Government";77143;13;" Married";"Own-child";" Professional";" White";" M";0;0;"50,5 h";"57,42 Milers d'euros"
"CS124";19;" Private";267989;10;" Single";"Husband";" Service";" Black";" M";0;0;"35 h";"39,21 Milers d'euros"
"CS125";47;" Private";301606;13;" Married";"Own-child";" White-Collar";" White";" Fem";0;0;"40 h";"52,33 Milers d'euros"
"CS126";20;" Private";287828;10;" Single";"Wife";" White-Collar";" White";" Fem";0;0;"28,5 h";"41,24 Milers d'euros"
"CS127";31;" Private";111697;12;" Married";"Own-child";" White-Collar";" White";" M";0;1719;"40,5 h";"58,32 Milers d'euros"
"CS128";35;" Other/Unknown";114937;9;" Married";"Husband";" Other/Unknown";" White";" M";0;0;"40 h";"49,2 Milers d'euros"
"CS129";39;" Private";129305;10;" Divorced";"Husband";" Blue-Collar";" White";" M";0;0;"40 h";"50,55 Milers d'euros"
"CS130";28;" Private";365739;12;" Single";"Not-in-family";" Sales";" White";" Fem";0;0;"60,5 h";"39,22 Milers d'euros"
"CS131";24;" Private";69621;9;" Single";"Not-in-family";" Service";" White";" Fem";0;0;"40 h";"40600 euros"
"CS132";38;" Self-Employed";43323;9;" Married";"Not-in-family";" Blue-Collar";" White";" M";0;1762;"35,5 h";"52,88 Milers d'euros"
"CS133";37;" Private";120985;13;" Married";"Husband";" Sales";" White";" M";4386;0;"50 h";"53,72 Milers d'euros"
"CS134";46;" Private";254202;12;" Divorced";"Husband";" Service";" Black";" Fem";0;0;"36,5 h";"39,34 Milers d'euros"
"CS135";38;" Government";146195;14;" Married";"Not-in-family";" Professional";" White";" M";0;0;"40 h";"54,57 Milers d'euros"
"CS136";43;" Self-Employed";125933;9;" Married";"Husband";" Blue-Collar";" White";" M";0;0;"60,5 h";"55,14 Milers d'euros"
"CS137";27;" Private";56920;11;" Married";"Husband";" White-Collar";" White";" Fem";0;0;"35 h";"44,35 Milers d'euros"
"CS138";20;" Private";163127;10;" Single";"Wife";" Sales";" White";" M";0;0;"20,5 h";"48,78 Milers d'euros"
"CS139";49;" Private";34310;10;" Married";"Own-child";" Blue-Collar";" Asian-Pac-Islander";" M";0;0;"40,5 h";"50,09 Milers d'euros"
"CS140";61;" Self-Employed";81973;9;" Married";"Husband";" Blue-Collar";" White";" M";0;0;"40,5 h";"49,93 Milers d'euros"
"CS141";27;" Private";66614;10;" Single";"Husband";" Sales";" White";" Fem";0;0;"40 h";"39510 euros"
"CS142";19;" Private";232782;10;" Single";"Own-child";" Service";" White";" M";0;0;"30,5 h";"47,05 Milers d'euros"
"CS143";45;" Private";316868;11;" Single";"Own-child";" Professional";" White";" Fem";0;0;"40 h";"36,82 Milers d'euros"
"CS144";70;" Private";196584;10;" Single";"Not-in-family";" Service";" White";" M";0;1564;"40,5 h";"46,37 Milers d'euros"
"CS145";31;" Private";105376;9;" Single";"Other-relative";" Blue-Collar";" Black";" Fem";0;0;"30,5 h";"37,42 Milers d'euros"
"CS146";22;" Private";185814;10;" Married";"Unmarried";" Service";" White";" M";0;0;"24 h";"50,42 Milers d'euros"
"CS147";36;" Private";175374;9;" Widowed";"Husband";" Service";" White";" Fem";0;0;"24,5 h";"35,17 Milers d'euros"
"CS148";64;" Private";108293;7;" Married";"Unmarried";" Blue-Collar";" White";" M";0;0;"40 h";"56,67 Milers d'euros"
"CS149";43;" Other/Unknown";181232;10;" Divorced";"Husband";" Other/Unknown";" White";" Fem";0;2179;"40 h";"40,79 Milers d'euros"
"CS150";47;" Government";174662;10;" Divorced";"Not-in-family";" White-Collar";" White";" Fem";0;0;"38 h";"46,08 Milers d'euros"
"CS151";34;" Private";186009;9;" Single";"Unmarried";" White-Collar";" White";" Fem";0;0;"40,5 h";"44,59 Milers d'euros"
"CS152";33;" Private";198183;13;" Single";"Not-in-family";" White-Collar";" Asian-Pac-Islander";" Fem";0;0;"40,5 h";"44,26 Milers d'euros"
"CS153";21;" Private";163003;9;" Single";"Other-relative";" Blue-Collar";" White";" M";0;0;"35 h";"51,13 Milers d'euros"
"CS154";52;" Other/Unknown";296158;9;" Divorced";"Own-child";" Other/Unknown";" White";" M";0;0;"45 h";"44,68 Milers d'euros"
"CS155";48;" Private";252903;9;" Married";"Not-in-family";" Blue-Collar";" White";" M";0;0;"46 h";"55,37 Milers d'euros"
"CS156";23;" Private";187715;13;" Single";"Husband";" Blue-Collar";" White";" M";0;0;"40 h";"51,36 Milers d'euros"
"CS157";71;" Self-Employed";214542;10;" Separated";"Not-in-family";" Sales";" Black";" M";0;0;"2,5 h";"38,42 Milers d'euros"
"CS158";29;" Private";494223;9;" Divorced";"Unmarried";" Blue-Collar";" White";" M";0;1816;"60,5 h";"51,72 Milers d'euros"
"CS159";42;" Private";191535;13;" Separated";"Not-in-family";" Service";" Black";" M";0;0;"50 h";"43,74 Milers d'euros"
"CS160";68;" Other/Unknown";228456;2;" Divorced";"Other-relative";" Other/Unknown";" White";" Fem";0;0;"20 h";"33,51 Milers d'euros"
"CS161";25;" Private";38317;9;" Single";"Not-in-family";" Service";" White";" Fem";0;0;"40,5 h";"39,85 Milers d'euros"
"CS162";44;" Self-Employed";252752;14;" Divorced";"Unmarried";" White-Collar";" Asian-Pac-Islander";" Fem";0;0;"40,5 h";"39,26 Milers d'euros"
"CS163";28;" Private";78374;9;" Single";"Unmarried";" White-Collar";" Asian-Pac-Islander";" Fem";0;0;"40,5 h";"38,81 Milers d'euros"
"CS164";45;" Self-Employed";88419;14;" Married";"Not-in-family";" Sales";" White";" M";0;0;"40 h";"57,37 Milers d'euros"
"CS165";36;" Private";201080;10;" Divorced";"Husband";" Service";" White";" Fem";0;0;"40 h";"38,55 Milers d'euros"
"CS166";39;" Government";207157;12;" Single";"Unmarried";" White-Collar";" White";" M";0;0;"42 h";"58,75 Milers d'euros"
"CS167";46;" Government";235485;14;" Widowed";"Not-in-family";" Service";" White";" M";0;0;"40,5 h";"55,69 Milers d'euros"
"CS168";18;" Private";102628;7;" Single";"Unmarried";" Blue-Collar";" White";" M";0;0;"16,5 h";"48,22 Milers d'euros"
"CS169";66;" Government";25828;11;" Widowed";"Own-child";" Professional";" White";" Fem";0;0;"20,5 h";"45,52 Milers d'euros"
"CS170";27;" Private";54826;9;" Single";"Not-in-family";" Service";" White";" M";0;0;"40,5 h";"48,54 Milers d'euros"
"CS171";28;" Government";124953;9;" Married";"Not-in-family";" Service";" White";" M";0;1980;"40,5 h";"55,4 Milers d'euros"
"CS172";51;" Private";175325;10;" Married";"Husband";" Sales";" White";" M";0;0;"40 h";"52,96 Milers d'euros"
"CS173";27;" Private";96062;13;" Single";"Husband";" Blue-Collar";" White";" M";0;1977;"50,5 h";"52,27 Milers d'euros"
"CS174";28;" Government";428030;13;" Married";"Not-in-family";" Professional";" White";" M";0;0;"40,5 h";"62,33 Milers d'euros"
"CS175";27;" Private";149624;9;" Married";"Husband";" Sales";" White";" Fem";0;0;"25 h";"39,87 Milers d'euros"
"CS176";21;" Private";253814;9;" Single";"Unmarried";" Blue-Collar";" Black";" M";0;0;"40,5 h";"40,43 Milers d'euros"
"CS177";34;" Private";312956;9;" Single";"Own-child";" Blue-Collar";" Black";" M";0;0;"40,5 h";"43,09 Milers d'euros"
"CS178";18;" Private";483777;9;" Single";"Not-in-family";" Service";" White";" M";0;0;"12 h";"47,31 Milers d'euros"
"CS179";33;" Private";183930;13;" Married";"Own-child";" Professional";" White";" M";0;0;"65 h";"55,84 Milers d'euros"
"CS180";44;" Government";37274;10;" Married";"Husband";" White-Collar";" Black";" M";0;0;"38 h";"52,64 Milers d'euros"
"CS181";43;" Private";181344;10;" Divorced";"Husband";" White-Collar";" White";" Fem";0;0;"40,5 h";"42460 euros"
"CS182";30;" Private";114580;10;" Single";"Not-in-family";" Blue-Collar";" Black";" M";0;0;"45,5 h";"45,88 Milers d'euros"
"CS183";40;" Private";633742;4;" Married";"Not-in-family";" Blue-Collar";" White";" M";0;0;"40,5 h";"52,94 Milers d'euros"
"CS184";37;" Government";286370;10;" Married";"Husband";" White-Collar";" White";" M";0;0;"42,5 h";"59,74 Milers d'euros"
"CS185";34;" Private";29054;9;" Married";"Husband";" White-Collar";" Black";" M";0;0;"40 h";"48,54 Milers d'euros"
"CS186";41;" Self-Employed";304030;13;" Divorced";"Husband";" White-Collar";" White";" Fem";0;0;"40,5 h";"42,07 Milers d'euros"
"CS187";53;" Other/Unknown";143129;13;" Divorced";"Not-in-family";" Other/Unknown";" White";" Fem";0;0;"50 h";"40,34 Milers d'euros"
"CS188";31;" Private";135105;14;" Married";"Not-in-family";" Professional";" White";" Fem";0;0;"50 h";"44,94 Milers d'euros"
"CS189";58;" Government";99928;16;" Married";"Wife";" Professional";" White";" M";0;0;"1 h";"60,24 Milers d'euros"
"CS190";38;" Private";109567;10;" Divorced";"Husband";" Blue-Collar";" Black";" Fem";0;0;"28,5 h";"41,08 Milers d'euros"
"CS191";24;" Private";155222;10;" Married";"Not-in-family";" Blue-Collar";" White";" M";0;0;"40 h";"55,45 Milers d'euros"
"CS192";41;" Government";159567;13;" Married";"Husband";" Blue-Collar";" Black";" M";0;0;"40 h";"51,81 Milers d'euros"
"CS193";47;" Private";523910;10;" Married";"Husband";" Service";" White";" M";0;0;"45,5 h";"53,05 Milers d'euros"
"CS194";41;" Government";120939;13;" Married";"Husband";" Service";" White";" M";0;0;"24,5 h";"55,19 Milers d'euros"
"CS195";23;" Private";130760;3;" Married";"Husband";" Blue-Collar";" White";" M";0;0;"40 h";"50,2 Milers d'euros"
"CS196";36;" Private";197387;10;" Divorced";"Other-relative";" Blue-Collar";" White";" M";0;0;"40,5 h";"56,37 Milers d'euros"
"CS197";40;" Government";99374;14;" Single";"Not-in-family";" White-Collar";" White";" Fem";0;0;"55 h";"50,39 Milers d'euros"
"CS198";35;" Private";56795;14;" Married";"Not-in-family";" Professional";" White";" M";14084;0;"40 h";"52,09 Milers d'euros"
"CS199";24;" Self-Employed";138992;9;" Single";"Other-relative";" Sales";" White";" M";7298;0;"40 h";"43,49 Milers d'euros"
"CS200";26;" Private";32921;14;" Single";"Not-in-family";" Professional";" White";" Fem";0;0;"40 h";"37,95 Milers d'euros"
"CS201";19;" Other/Unknown";397317;9;" Single";"Not-in-family";" Other/Unknown";" White";" M";0;1876;"40 h";"48,96 Milers d'euros"
"CS202";51;" Private";170653;13;" Married";"Own-child";" White-Collar";" White";" M";0;0;"50 h";"61,68 Milers d'euros"
"CS203";42;" Government";259323;10;" Single";"Husband";" Professional";" White";" Fem";0;0;"40,5 h";"43,03 Milers d'euros"
"CS204";37;" Government";254817;9;" Divorced";"Not-in-family";" White-Collar";" White";" Fem";0;1340;"35,5 h";"49,04 Milers d'euros"
"CS205";18;" Private";48211;7;" Single";"Unmarried";" Sales";" White";" Fem";0;0;"40,5 h";"36,08 Milers d'euros"
"CS206";36;" Private";140164;13;" Married";"Own-child";" Service";" Black";" M";0;0;"36,5 h";"44,24 Milers d'euros"
"CS207";35;" Private";128757;9;" Divorced";"Husband";" Blue-Collar";" White";" M";7298;0;"60 h";"51060 euros"
"CS208";58;" Self-Employed";36270;9;" Married";"Not-in-family";" Sales";" White";" Fem";0;0;"35 h";"38390 euros"
"CS209";17;" Private";210563;7;" Single";"Wife";" Sales";" White";" Fem";15024;0;"12,5 h";"39,34 Milers d'euros"
"CS210";44;" Government";65368;9;" Married";"Own-child";" Blue-Collar";" Black";" M";0;0;"40,5 h";"51,2 Milers d'euros"
"CS211";37;" Private";160943;9;" Married";"Husband";" Blue-Collar";" White";" M";0;0;"40 h";"55,34 Milers d'euros"
"CS212";35;" Private";208358;10;" Single";"Husband";" Sales";" Amer-Indian-Eskimo";" Fem";0;0;"40,5 h";"36,84 Milers d'euros"
"CS213";60;" Private";153790;9;" Married";"Not-in-family";" Blue-Collar";" Asian-Pac-Islander";" M";0;0;"40 h";"48,75 Milers d'euros"
