"CS_ID","age","workclass","education_num","marital_status","relationship","occupation","race","gender","hours_per_week","income","education_cat"
"CS65",36,"Private",9,"M","Not-in-family","Blue-Collar","White","m",40.5,52.93,"Secundaria"
"CS66",28,"Private",10,"D","Husband","White-Collar","White","f",40,44.75,"Universitaria"
"CS67",53,"Private",9,"M","Not-in-family","White-Collar","White","f",40.5,48.48,"Secundaria"
"CS68",49,"Self-Employed",10,"M","Wife","White-Collar","White","m",50.5,55.18,"Universitaria"
"CS69",25,"Other/Unknown",10,"S","Husband","Other/Unknown","White","m",40.5,46.89,"Universitaria"
"CS70",19,"Private",10,"S","Own-child","Professional","White","m",32.5,52.73,"Universitaria"
"CS71",31,"Private",13,"X","Own-child","Sales","Black","f",40,38.18,"Universitaria"
"CS72",29,"Self-Employed",13,"M","Own-child","Sales","White","m",70.5,46.38,"Universitaria"
"CS73",23,"Private",10,"S","Husband","Blue-Collar","White","m",40.5,53,"Universitaria"
"CS74",79,"Private",10,"M","Not-in-family","Professional","White","m",20.5,52.65,"Universitaria"
"CS75",27,"Private",9,"S","Other-relative","Service","White","m",40.5,46.42,"Secundaria"
"CS76",40,"Private",12,"M","Own-child","White-Collar","White","m",40.5,60.17,"Universitaria"
"CS77",67,"Other/Unknown",6,"M","Husband","Other/Unknown","White","m",2,47.36,"Primaria"
"CS78",18,"Private",7,"S","Husband","Service","White","f",22,33.93,"Secundaria"
"CS79",31,"Government",4,"M","Own-child","Blue-Collar","White","m",40,57.73,"Primaria"
"CS80",18,"Private",9,"S","Husband","Sales","White","m",30.5,46.95,"Secundaria"
"CS81",52,"Private",13,"M","Not-in-family","Service","White","m",40.5,53.8,"Universitaria"
"CS82",46,"Private",9,"M","Husband","Service","White","f",40.5,43.14,"Secundaria"
"CS83",59,"Private",9,"M","Wife","Sales","White","m",48.5,52.26,"Secundaria"
"CS84",44,"Private",9,"D","Husband","Blue-Collar","White","f",40,43.6,"Secundaria"
"CS85",53,"Private",9,"D","Not-in-family","Sales","White","f",35.5,38.99,"Secundaria"
"CS86",49,"Government",9,"M","Own-child","Service","White","m",40,57.12,"Secundaria"
"CS87",33,"Private",14,"M","Husband","Professional","White","m",50,57.02,"Postuniversitaria"
"CS88",30,"Private",5,"S","Husband","Sales","White","m",40.5,47.52,"Primaria"
"CS89",43,"Government",16,"S","Not-in-family","Professional","White","f",50,45.1,"Postuniversitaria"
"CS90",57,"Private",11,"M","Not-in-family","Professional","White","m",40,56.62,"Universitaria"
"CS91",37,"Private",10,"D","Husband","Blue-Collar","White","f",40,44.4,"Universitaria"
"CS92",28,"Private",10,"D","Unmarried","Blue-Collar","Black","f",25.5,42.79,"Universitaria"
"CS93",30,"Private",9,"M","Unmarried","Sales","Asian-Pac-Islander","f",35,40.72,"Secundaria"
"CS94",34,"Government",13,"M","Wife","Service","White","m",40,55.99,"Universitaria"
"CS95",29,"Government",10,"S","Husband","Blue-Collar","White","m",50.5,58.19,"Universitaria"
"CS96",48,"Self-Employed",16,"M","Not-in-family","Professional","White","m",60.5,52,"Postuniversitaria"
"CS97",37,"Private",10,"M","Husband","Sales","White","m",48,57.02,"Universitaria"
"CS98",48,"Private",12,"D","Husband","White-Collar","White","f",40.5,48.43,"Universitaria"
"CS99",32,"Government",9,"S","Unmarried","Service","Black","m",40,43.48,"Secundaria"
"CS100",76,"Private",14,"M","Own-child","White-Collar","White","m",40.5,57.77,"Postuniversitaria"
"CS101",44,"Private",13,"M","Husband","White-Collar","White","m",60.5,57.73,"Universitaria"
"CS102",47,"Self-Employed",14,"S","Husband","Professional","White","f",50,38.76,"Postuniversitaria"
"CS103",20,"Private",10,"S","Not-in-family","Service","White","f",40,37.41,"Universitaria"
"CS104",29,"Private",9,"S","Own-child","Blue-Collar","White","m",40,50.16,"Secundaria"
"CS105",32,"Self-Employed",9,"M","Not-in-family","Blue-Collar","White","m",40.5,50.05,"Secundaria"
"CS106",17,"Other/Unknown",6,"S","Husband","Other/Unknown","White","f",32,33.24,"Primaria"
"CS107",30,"Private",7,"S","Own-child","Blue-Collar","White","m",40.5,48.7,"Secundaria"
"CS108",31,"Government",9,"S","Own-child","White-Collar","White","f",40.5,43.58,"Secundaria"
"CS109",42,"Private",9,"M","Not-in-family","Blue-Collar","White","m",40,54.49,"Secundaria"
"CS110",24,"Private",13,"S","Husband","Sales","White","m",40.5,50.79,"Universitaria"
"CS111",38,"Private",15,"M","Other-relative","Professional","White","m",40,53.84,"Postuniversitaria"
"CS112",56,"Self-Employed",9,"M","Husband","Service","White","m",50,51.19,"Secundaria"
"CS113",28,"Private",10,"M","Husband","Sales","White","f",25.5,38.45,"Universitaria"
"CS114",36,"Private",9,"S","Wife","Blue-Collar","White","f",40.5,40.96,"Secundaria"
"CS115",53,"Private",5,"M","Own-child","Blue-Collar","White","m",50,55.68,"Primaria"
"CS116",56,"Self-Employed",10,"M","Husband","Sales","White","m",50,50.88,"Universitaria"
"CS117",49,"Government",11,"M","Husband","Blue-Collar","Black","m",40,52.29,"Universitaria"
"CS118",55,"Private",10,"M","Husband","Sales","White","m",56,52.15,"Universitaria"
"CS119",22,"Private",9,"S","Husband","Blue-Collar","White","m",41,48.98,"Secundaria"
"CS120",21,"Private",10,"S","Not-in-family","Service","White","f",40.5,35.88,"Universitaria"
"CS121",40,"Private",13,"M","Own-child","White-Collar","White","m",60.5,59.27,"Universitaria"
"CS122",30,"Private",13,"S","Husband","White-Collar","Black","m",40,44.24,"Universitaria"
"CS123",29,"Government",13,"M","Own-child","Professional","White","m",50.5,57.42,"Universitaria"
"CS124",19,"Private",10,"S","Husband","Service","Black","m",35,39.21,"Universitaria"
"CS125",47,"Private",13,"M","Own-child","White-Collar","White","f",40,52.33,"Universitaria"
"CS126",20,"Private",10,"S","Wife","White-Collar","White","f",28.5,41.24,"Universitaria"
"CS127",31,"Private",12,"M","Own-child","White-Collar","White","m",40.5,58.32,"Universitaria"
"CS128",35,"Other/Unknown",9,"M","Husband","Other/Unknown","White","m",40,49.2,"Secundaria"
"CS129",39,"Private",10,"D","Husband","Blue-Collar","White","m",40,50.55,"Universitaria"
"CS130",28,"Private",12,"S","Not-in-family","Sales","White","f",60.5,39.22,"Universitaria"
"CS131",24,"Private",9,"S","Not-in-family","Service","White","f",40,40.6,"Secundaria"
"CS132",38,"Self-Employed",9,"M","Not-in-family","Blue-Collar","White","m",35.5,52.88,"Secundaria"
"CS133",37,"Private",13,"M","Husband","Sales","White","m",50,53.72,"Universitaria"
"CS134",46,"Private",12,"D","Husband","Service","Black","f",36.5,39.34,"Universitaria"
"CS135",38,"Government",14,"M","Not-in-family","Professional","White","m",40,54.57,"Postuniversitaria"
"CS136",43,"Self-Employed",9,"M","Husband","Blue-Collar","White","m",60.5,55.14,"Secundaria"
"CS137",27,"Private",11,"M","Husband","White-Collar","White","f",35,44.35,"Universitaria"
"CS138",20,"Private",10,"S","Wife","Sales","White","m",20.5,48.78,"Universitaria"
"CS139",49,"Private",10,"M","Own-child","Blue-Collar","Asian-Pac-Islander","m",40.5,50.09,"Universitaria"
"CS140",61,"Self-Employed",9,"M","Husband","Blue-Collar","White","m",40.5,49.93,"Secundaria"
"CS141",27,"Private",10,"S","Husband","Sales","White","f",40,39.51,"Universitaria"
"CS142",19,"Private",10,"S","Own-child","Service","White","m",30.5,47.05,"Universitaria"
"CS143",45,"Private",11,"S","Own-child","Professional","White","f",40,36.82,"Universitaria"
"CS144",70,"Private",10,"S","Not-in-family","Service","White","m",40.5,46.37,"Universitaria"
"CS145",31,"Private",9,"S","Other-relative","Blue-Collar","Black","f",30.5,37.42,"Secundaria"
"CS146",22,"Private",10,"M","Unmarried","Service","White","m",24,50.42,"Universitaria"
"CS147",36,"Private",9,"W","Husband","Service","White","f",24.5,35.17,"Secundaria"
"CS148",64,"Private",7,"M","Unmarried","Blue-Collar","White","m",40,56.67,"Secundaria"
"CS149",43,"Other/Unknown",10,"D","Husband","Other/Unknown","White","f",40,40.79,"Universitaria"
"CS150",47,"Government",10,"D","Not-in-family","White-Collar","White","f",38,46.08,"Universitaria"
"CS151",34,"Private",9,"S","Unmarried","White-Collar","White","f",40.5,44.59,"Secundaria"
"CS152",33,"Private",13,"S","Not-in-family","White-Collar","Asian-Pac-Islander","f",40.5,44.26,"Universitaria"
"CS153",21,"Private",9,"S","Other-relative","Blue-Collar","White","m",35,51.13,"Secundaria"
"CS154",52,"Other/Unknown",9,"D","Own-child","Other/Unknown","White","m",45,44.68,"Secundaria"
"CS155",48,"Private",9,"M","Not-in-family","Blue-Collar","White","m",46,55.37,"Secundaria"
"CS156",23,"Private",13,"S","Husband","Blue-Collar","White","m",40,51.36,"Universitaria"
"CS157",71,"Self-Employed",10,"X","Not-in-family","Sales","Black","m",2.5,38.42,"Universitaria"
"CS158",29,"Private",9,"D","Unmarried","Blue-Collar","White","m",60.5,51.72,"Secundaria"
"CS159",42,"Private",13,"X","Not-in-family","Service","Black","m",50,43.74,"Universitaria"
"CS160",68,"Other/Unknown",2,"D","Other-relative","Other/Unknown","White","f",20,33.51,"Primaria"
"CS161",25,"Private",9,"S","Not-in-family","Service","White","f",40.5,39.85,"Secundaria"
"CS162",44,"Self-Employed",14,"D","Unmarried","White-Collar","Asian-Pac-Islander","f",40.5,39.26,"Postuniversitaria"
"CS163",28,"Private",9,"S","Unmarried","White-Collar","Asian-Pac-Islander","f",40.5,38.81,"Secundaria"
"CS164",45,"Self-Employed",14,"M","Not-in-family","Sales","White","m",40,57.37,"Postuniversitaria"
"CS165",36,"Private",10,"D","Husband","Service","White","f",40,38.55,"Universitaria"
"CS166",39,"Government",12,"S","Unmarried","White-Collar","White","m",42,58.75,"Universitaria"
"CS167",46,"Government",14,"W","Not-in-family","Service","White","m",40.5,55.69,"Postuniversitaria"
"CS168",18,"Private",7,"S","Unmarried","Blue-Collar","White","m",16.5,48.22,"Secundaria"
"CS169",66,"Government",11,"W","Own-child","Professional","White","f",20.5,45.52,"Universitaria"
"CS170",27,"Private",9,"S","Not-in-family","Service","White","m",40.5,48.54,"Secundaria"
"CS171",28,"Government",9,"M","Not-in-family","Service","White","m",40.5,55.4,"Secundaria"
"CS172",51,"Private",10,"M","Husband","Sales","White","m",40,52.96,"Universitaria"
"CS173",27,"Private",13,"S","Husband","Blue-Collar","White","m",50.5,52.27,"Universitaria"
"CS174",28,"Government",13,"M","Not-in-family","Professional","White","m",40.5,62.33,"Universitaria"
"CS175",27,"Private",9,"M","Husband","Sales","White","f",25,39.87,"Secundaria"
"CS176",21,"Private",9,"S","Unmarried","Blue-Collar","Black","m",40.5,40.43,"Secundaria"
"CS177",34,"Private",9,"S","Own-child","Blue-Collar","Black","m",40.5,43.09,"Secundaria"
"CS178",18,"Private",9,"S","Not-in-family","Service","White","m",12,47.31,"Secundaria"
"CS179",33,"Private",13,"M","Own-child","Professional","White","m",65,55.84,"Universitaria"
"CS180",44,"Government",10,"M","Husband","White-Collar","Black","m",38,52.64,"Universitaria"
"CS181",43,"Private",10,"D","Husband","White-Collar","White","f",40.5,42.46,"Universitaria"
"CS182",30,"Private",10,"S","Not-in-family","Blue-Collar","Black","m",45.5,45.88,"Universitaria"
"CS183",40,"Private",4,"M","Not-in-family","Blue-Collar","White","m",40.5,52.94,"Primaria"
"CS184",37,"Government",10,"M","Husband","White-Collar","White","m",42.5,59.74,"Universitaria"
"CS185",34,"Private",9,"M","Husband","White-Collar","Black","m",40,48.54,"Secundaria"
"CS186",41,"Self-Employed",13,"D","Husband","White-Collar","White","f",40.5,42.07,"Universitaria"
"CS187",53,"Other/Unknown",13,"D","Not-in-family","Other/Unknown","White","f",50,40.34,"Universitaria"
"CS188",31,"Private",14,"M","Not-in-family","Professional","White","f",50,44.94,"Postuniversitaria"
"CS189",58,"Government",16,"M","Wife","Professional","White","m",1,60.24,"Postuniversitaria"
"CS190",38,"Private",10,"D","Husband","Blue-Collar","Black","f",28.5,41.08,"Universitaria"
"CS191",24,"Private",10,"M","Not-in-family","Blue-Collar","White","m",40,55.45,"Universitaria"
"CS192",41,"Government",13,"M","Husband","Blue-Collar","Black","m",40,51.81,"Universitaria"
"CS193",47,"Private",10,"M","Husband","Service","White","m",45.5,53.05,"Universitaria"
"CS194",41,"Government",13,"M","Husband","Service","White","m",24.5,55.19,"Universitaria"
"CS195",23,"Private",3,"M","Husband","Blue-Collar","White","m",40,50.2,"Primaria"
"CS196",36,"Private",10,"D","Other-relative","Blue-Collar","White","m",40.5,56.37,"Universitaria"
"CS197",40,"Government",14,"S","Not-in-family","White-Collar","White","f",55,50.39,"Postuniversitaria"
"CS198",35,"Private",14,"M","Not-in-family","Professional","White","m",40,52.09,"Postuniversitaria"
"CS199",24,"Self-Employed",9,"S","Other-relative","Sales","White","m",40,43.49,"Secundaria"
"CS200",26,"Private",14,"S","Not-in-family","Professional","White","f",40,37.95,"Postuniversitaria"
"CS201",19,"Other/Unknown",9,"S","Not-in-family","Other/Unknown","White","m",40,48.96,"Secundaria"
"CS202",51,"Private",13,"M","Own-child","White-Collar","White","m",50,61.68,"Universitaria"
"CS203",42,"Government",10,"S","Husband","Professional","White","f",40.5,43.03,"Universitaria"
"CS204",37,"Government",9,"D","Not-in-family","White-Collar","White","f",35.5,49.04,"Secundaria"
"CS205",18,"Private",7,"S","Unmarried","Sales","White","f",40.5,36.08,"Secundaria"
"CS206",36,"Private",13,"M","Own-child","Service","Black","m",36.5,44.24,"Universitaria"
"CS207",35,"Private",9,"D","Husband","Blue-Collar","White","m",60,51.06,"Secundaria"
"CS208",58,"Self-Employed",9,"M","Not-in-family","Sales","White","f",35,38.39,"Secundaria"
"CS209",17,"Private",7,"S","Wife","Sales","White","f",12.5,39.34,"Secundaria"
"CS210",44,"Government",9,"M","Own-child","Blue-Collar","Black","m",40.5,51.2,"Secundaria"
"CS211",37,"Private",9,"M","Husband","Blue-Collar","White","m",40,55.34,"Secundaria"
"CS212",35,"Private",10,"S","Husband","Sales","Amer-Indian-Eskimo","f",40.5,36.84,"Universitaria"
"CS213",60,"Private",9,"M","Not-in-family","Blue-Collar","Asian-Pac-Islander","m",40,48.75,"Secundaria"
"CS214",54,"Self-Employed",4,"M","Husband","Blue-Collar","White","m",40.5,50.03,"Primaria"
"CS215",37,"Private",13,"S","Husband","White-Collar","Black","m",60.5,44.95,"Universitaria"
"CS216",50,"Private",12,"D","Not-in-family","Sales","White","f",40,43.77,"Universitaria"
"CS217",38,"Private",13,"M","Not-in-family","Sales","White","m",50,52.79,"Universitaria"
"CS218",45,"Private",13,"M","Husband","Professional","White","m",55.5,53.58,"Universitaria"
"CS219",25,"Private",6,"S","Husband","Blue-Collar","White","m",40.5,47.34,"Primaria"
"CS220",31,"Private",10,"M","Not-in-family","Blue-Collar","White","m",40,52.66,"Universitaria"
"CS221",64,"Other/Unknown",2,"D","Husband","Other/Unknown","White","m",40.5,43.59,"Primaria"
"CS222",76,"Private",9,"S","Not-in-family","Service","Black","m",40.5,42.93,"Secundaria"
"CS223",54,"Private",9,"M","Not-in-family","White-Collar","Black","m",20,51.23,"Secundaria"
"CS224",53,"Government",1,"S","Husband","Blue-Collar","White","f",35.5,44.37,"Primaria"
"CS225",18,"Private",9,"S","Not-in-family","Sales","White","f",40,36.8,"Secundaria"
"CS226",60,"Other/Unknown",6,"D","Own-child","Other/Unknown","Amer-Indian-Eskimo","f",10.5,33.08,"Primaria"
"CS227",66,"Self-Employed",9,"M","Not-in-family","Blue-Collar","White","m",50,51.86,"Secundaria"
"CS228",75,"Private",11,"W","Husband","White-Collar","White","f",20.5,43.33,"Universitaria"
"CS229",65,"Private",9,"D","Not-in-family","White-Collar","White","f",40.5,46.71,"Secundaria"
"CS230",35,"Private",7,"X","Not-in-family","Blue-Collar","Black","m",40.5,40.39,"Secundaria"
"CS231",41,"Private",9,"D","Not-in-family","Sales","Black","f",38.5,43.07,"Secundaria"
"CS232",25,"Private",10,"S","Unmarried","White-Collar","White","m",42,52.93,"Universitaria"
"CS233",33,"Private",10,"D","Not-in-family","Blue-Collar","Other","f",40,34.72,"Universitaria"
"CS234",28,"Private",15,"S","Other-relative","Professional","White","m",55,49.66,"Postuniversitaria"
"CS235",59,"Government",9,"M","Not-in-family","Service","White","m",40.5,55.61,"Secundaria"
"CS236",40,"Government",10,"S","Husband","White-Collar","White","f",38,44.81,"Universitaria"
"CS237",41,"Private",13,"M","Not-in-family","White-Collar","White","m",50.5,58.39,"Universitaria"
"CS238",38,"Government",14,"M","Husband","White-Collar","White","m",70,64.42,"Postuniversitaria"
"CS239",23,"Private",9,"S","Husband","Blue-Collar","White","m",40.5,51.33,"Secundaria"
"CS240",40,"Private",13,"M","Own-child","Professional","White","m",40.5,52.87,"Universitaria"
"CS241",41,"Self-Employed",9,"M","Husband","Service","White","f",20.5,37.04,"Secundaria"
"CS242",24,"Government",12,"M","Wife","Service","White","m",50.5,55.94,"Universitaria"
"CS243",20,"Other/Unknown",10,"S","Husband","Other/Unknown","White","m",20.5,47.29,"Universitaria"
"CS244",38,"Private",10,"D","Own-child","Blue-Collar","White","m",40,50.17,"Universitaria"
"CS245",56,"Private",9,"M","Not-in-family","White-Collar","White","m",35,57.16,"Secundaria"
"CS246",58,"Private",9,"M","Husband","White-Collar","White","m",45,61.68,"Secundaria"
"CS247",32,"Private",9,"S","Husband","Service","White","f",34.5,37.57,"Secundaria"
"CS248",40,"Private",12,"M","Not-in-family","Service","White","m",60,51,"Universitaria"
"CS249",45,"Private",9,"M","Husband","White-Collar","White","m",40,56.01,"Secundaria"
"CS250",41,"Private",15,"M","Husband","Professional","White","f",40,46.05,"Postuniversitaria"
"CS251",42,"Private",13,"M","Wife","White-Collar","Black","f",40,47.74,"Universitaria"
"CS252",59,"Government",6,"W","Wife","Service","Black","f",30,40.91,"Primaria"
"CS253",19,"Government",10,"S","Unmarried","White-Collar","White","m",40,56.18,"Universitaria"
"CS254",58,"Private",10,"S","Own-child","Blue-Collar","White","m",20.5,51.62,"Universitaria"
"CS255",42,"Self-Employed",9,"M","Not-in-family","Blue-Collar","Asian-Pac-Islander","m",40.5,45.95,"Secundaria"
"CS256",20,"Private",9,"S","Husband","Service","White","f",40.5,37.41,"Secundaria"
"CS257",32,"Private",9,"X","Own-child","Service","White","f",30.5,39.81,"Secundaria"
"CS258",45,"Private",11,"W","Not-in-family","White-Collar","White","f",45.5,45.87,"Universitaria"
"CS259",50,"Private",4,"D","Not-in-family","Blue-Collar","White","m",40.5,50.71,"Primaria"
"CS260",36,"Private",13,"D","Not-in-family","Professional","White","f",40,38.24,"Universitaria"
"CS261",45,"Private",9,"M","Own-child","Sales","White","m",60,51.9,"Secundaria"
"CS262",17,"Private",7,"S","Husband","Service","White","m",12,45.06,"Secundaria"
"CS263",59,"Private",10,"M","Own-child","Sales","White","m",40.5,53.16,"Universitaria"
"CS264",26,"Private",7,"M","Husband","Blue-Collar","White","m",40,56.75,"Secundaria"
"CS265",37,"Self-Employed",10,"M","Husband","White-Collar","Asian-Pac-Islander","m",75,50.55,"Universitaria"
"CS266",19,"Other/Unknown",10,"S","Husband","Other/Unknown","White","m",24,47.49,"Universitaria"
"CS267",64,"Private",9,"M","Own-child","White-Collar","White","m",40,57.64,"Secundaria"
"CS268",33,"Private",13,"S","Husband","Professional","White","f",45,36.86,"Universitaria"
"CS269",33,"Private",9,"M","Not-in-family","Blue-Collar","White","f",40,44.2,"Secundaria"
"CS270",61,"Private",9,"M","Wife","White-Collar","White","m",40,58,"Secundaria"
"CS271",17,"Private",5,"S","Husband","Service","White","m",24.5,47.47,"Primaria"
"CS272",50,"Self-Employed",14,"M","Own-child","Blue-Collar","White","m",50.5,57.71,"Postuniversitaria"
"CS273",27,"Government",14,"S","Husband","Professional","White","m",35.5,55.57,"Postuniversitaria"
"CS274",30,"Private",9,"D","Own-child","Professional","White","f",40,37.1,"Secundaria"
"CS275",43,"Private",9,"M","Own-child","Blue-Collar","Black","m",40,48.98,"Secundaria"
"CS276",44,"Private",10,"M","Husband","Blue-Collar","White","m",40,54.73,"Universitaria"
"CS277",35,"Private",10,"S","Husband","White-Collar","White","f",40.5,43.7,"Universitaria"
"CS278",25,"Private",10,"S","Not-in-family","Service","White","f",40,38.2,"Universitaria"
"CS279",24,"Private",10,"M","Own-child","Blue-Collar","White","f",48.5,46.12,"Universitaria"
"CS280",22,"Private",13,"S","Wife","Professional","White","f",15,39.19,"Universitaria"
"CS281",42,"Government",10,"M","Not-in-family","Blue-Collar","White","m",40,56.23,"Universitaria"
"CS282",34,"Private",12,"D","Husband","Sales","Black","f",45.5,41.56,"Universitaria"
"CS283",60,"Private",13,"D","Unmarried","Professional","White","f",42,42.86,"Universitaria"
"CS284",21,"Private",9,"S","Not-in-family","Blue-Collar","White","m",40.5,50.09,"Secundaria"
"CS285",57,"Government",14,"M","Own-child","Sales","White","m",40.5,58.49,"Postuniversitaria"
"CS286",41,"Private",15,"M","Husband","Professional","White","m",60,55.95,"Postuniversitaria"
"CS287",50,"Private",10,"D","Husband","Service","White","m",45.5,50.39,"Universitaria"
"CS288",25,"Private",13,"S","Not-in-family","White-Collar","White","f",40.5,47.26,"Universitaria"
"CS289",50,"Private",4,"M","Not-in-family","Blue-Collar","White","m",40.5,53.5,"Primaria"
"CS290",36,"Private",13,"M","Husband","Professional","White","m",45.5,54.8,"Universitaria"
"CS291",31,"Private",9,"D","Husband","Professional","White","f",40.5,42.26,"Secundaria"
"CS292",29,"Government",13,"S","Not-in-family","Service","White","m",56,55.69,"Universitaria"
"CS293",21,"Private",10,"S","Not-in-family","Sales","White","m",45.5,50.37,"Universitaria"
"CS294",27,"Private",13,"S","Own-child","Service","Black","f",40,37.89,"Universitaria"
